Class 0, attribute 0, bin 0, P(bin | class) = 0.09
Class 0, attribute 0, bin 1, P(bin | class) = 0.74
Class 0, attribute 0, bin 2, P(bin | class) = 0.17
Class 0, attribute 0, bin 3, P(bin | class) = 0.01
Class 0, attribute 0, bin 4, P(bin | class) = 0.00
Class 0, attribute 1, bin 0, P(bin | class) = 0.08
Class 0, attribute 1, bin 1, P(bin | class) = 0.72
Class 0, attribute 1, bin 2, P(bin | class) = 0.20
Class 0, attribute 1, bin 3, P(bin | class) = 0.00
Class 0, attribute 1, bin 4, P(bin | class) = 0.01
Class 0, attribute 2, bin 0, P(bin | class) = 0.05
Class 0, attribute 2, bin 1, P(bin | class) = 0.86
Class 0, attribute 2, bin 2, P(bin | class) = 0.09
Class 0, attribute 2, bin 3, P(bin | class) = 0.00
Class 0, attribute 2, bin 4, P(bin | class) = 0.00
Class 0, attribute 3, bin 0, P(bin | class) = 0.43
Class 0, attribute 3, bin 1, P(bin | class) = 0.41
Class 0, attribute 3, bin 2, P(bin | class) = 0.15
Class 0, attribute 3, bin 3, P(bin | class) = 0.01
Class 0, attribute 3, bin 4, P(bin | class) = 0.00
Class 0, attribute 4, bin 0, P(bin | class) = 0.00
Class 0, attribute 4, bin 1, P(bin | class) = 1.00
Class 0, attribute 4, bin 2, P(bin | class) = 0.00
Class 0, attribute 4, bin 3, P(bin | class) = 0.00
Class 0, attribute 4, bin 4, P(bin | class) = 0.00
Class 0, attribute 5, bin 0, P(bin | class) = 0.00
Class 0, attribute 5, bin 1, P(bin | class) = 0.00
Class 0, attribute 5, bin 2, P(bin | class) = 0.00
Class 0, attribute 5, bin 3, P(bin | class) = 0.00
Class 0, attribute 5, bin 4, P(bin | class) = 1.00
Class 0, attribute 6, bin 0, P(bin | class) = 0.04
Class 0, attribute 6, bin 1, P(bin | class) = 0.95
Class 0, attribute 6, bin 2, P(bin | class) = 0.01
Class 0, attribute 6, bin 3, P(bin | class) = 0.00
Class 0, attribute 6, bin 4, P(bin | class) = 0.00
Class 0, attribute 7, bin 0, P(bin | class) = 0.98
Class 0, attribute 7, bin 1, P(bin | class) = 0.02
Class 0, attribute 7, bin 2, P(bin | class) = 0.01
Class 0, attribute 7, bin 3, P(bin | class) = 0.00
Class 0, attribute 7, bin 4, P(bin | class) = 0.00
Class 1, attribute 0, bin 0, P(bin | class) = 0.30
Class 1, attribute 0, bin 1, P(bin | class) = 0.63
Class 1, attribute 0, bin 2, P(bin | class) = 0.06
Class 1, attribute 0, bin 3, P(bin | class) = 0.01
Class 1, attribute 0, bin 4, P(bin | class) = 0.00
Class 1, attribute 1, bin 0, P(bin | class) = 0.30
Class 1, attribute 1, bin 1, P(bin | class) = 0.64
Class 1, attribute 1, bin 2, P(bin | class) = 0.06
Class 1, attribute 1, bin 3, P(bin | class) = 0.00
Class 1, attribute 1, bin 4, P(bin | class) = 0.00
Class 1, attribute 2, bin 0, P(bin | class) = 0.01
Class 1, attribute 2, bin 1, P(bin | class) = 0.90
Class 1, attribute 2, bin 2, P(bin | class) = 0.09
Class 1, attribute 2, bin 3, P(bin | class) = 0.00
Class 1, attribute 2, bin 4, P(bin | class) = 0.00
Class 1, attribute 3, bin 0, P(bin | class) = 0.92
Class 1, attribute 3, bin 1, P(bin | class) = 0.07
Class 1, attribute 3, bin 2, P(bin | class) = 0.00
Class 1, attribute 3, bin 3, P(bin | class) = 0.00
Class 1, attribute 3, bin 4, P(bin | class) = 0.00
Class 1, attribute 4, bin 0, P(bin | class) = 0.00
Class 1, attribute 4, bin 1, P(bin | class) = 0.99
Class 1, attribute 4, bin 2, P(bin | class) = 0.00
Class 1, attribute 4, bin 3, P(bin | class) = 0.00
Class 1, attribute 4, bin 4, P(bin | class) = 0.01
Class 1, attribute 5, bin 0, P(bin | class) = 0.00
Class 1, attribute 5, bin 1, P(bin | class) = 0.00
Class 1, attribute 5, bin 2, P(bin | class) = 0.00
Class 1, attribute 5, bin 3, P(bin | class) = 0.00
Class 1, attribute 5, bin 4, P(bin | class) = 1.00
Class 1, attribute 6, bin 0, P(bin | class) = 0.05
Class 1, attribute 6, bin 1, P(bin | class) = 0.94
Class 1, attribute 6, bin 2, P(bin | class) = 0.01
Class 1, attribute 6, bin 3, P(bin | class) = 0.00
Class 1, attribute 6, bin 4, P(bin | class) = 0.00
Class 1, attribute 7, bin 0, P(bin | class) = 0.75
Class 1, attribute 7, bin 1, P(bin | class) = 0.18
Class 1, attribute 7, bin 2, P(bin | class) = 0.05
Class 1, attribute 7, bin 3, P(bin | class) = 0.01
Class 1, attribute 7, bin 4, P(bin | class) = 0.00
Class 2, attribute 0, bin 0, P(bin | class) = 0.44
Class 2, attribute 0, bin 1, P(bin | class) = 0.51
Class 2, attribute 0, bin 2, P(bin | class) = 0.05
Class 2, attribute 0, bin 3, P(bin | class) = 0.00
Class 2, attribute 0, bin 4, P(bin | class) = 0.00
Class 2, attribute 1, bin 0, P(bin | class) = 0.22
Class 2, attribute 1, bin 1, P(bin | class) = 0.66
Class 2, attribute 1, bin 2, P(bin | class) = 0.12
Class 2, attribute 1, bin 3, P(bin | class) = 0.00
Class 2, attribute 1, bin 4, P(bin | class) = 0.00
Class 2, attribute 2, bin 0, P(bin | class) = 0.76
Class 2, attribute 2, bin 1, P(bin | class) = 0.24
Class 2, attribute 2, bin 2, P(bin | class) = 0.00
Class 2, attribute 2, bin 3, P(bin | class) = 0.00
Class 2, attribute 2, bin 4, P(bin | class) = 0.00
Class 2, attribute 3, bin 0, P(bin | class) = 0.96
Class 2, attribute 3, bin 1, P(bin | class) = 0.04
Class 2, attribute 3, bin 2, P(bin | class) = 0.00
Class 2, attribute 3, bin 3, P(bin | class) = 0.00
Class 2, attribute 3, bin 4, P(bin | class) = 0.00
Class 2, attribute 4, bin 0, P(bin | class) = 0.00
Class 2, attribute 4, bin 1, P(bin | class) = 0.99
Class 2, attribute 4, bin 2, P(bin | class) = 0.00
Class 2, attribute 4, bin 3, P(bin | class) = 0.00
Class 2, attribute 4, bin 4, P(bin | class) = 0.01
Class 2, attribute 5, bin 0, P(bin | class) = 0.00
Class 2, attribute 5, bin 1, P(bin | class) = 0.00
Class 2, attribute 5, bin 2, P(bin | class) = 0.00
Class 2, attribute 5, bin 3, P(bin | class) = 0.00
Class 2, attribute 5, bin 4, P(bin | class) = 1.00
Class 2, attribute 6, bin 0, P(bin | class) = 0.01
Class 2, attribute 6, bin 1, P(bin | class) = 0.99
Class 2, attribute 6, bin 2, P(bin | class) = 0.00
Class 2, attribute 6, bin 3, P(bin | class) = 0.00
Class 2, attribute 6, bin 4, P(bin | class) = 0.00
Class 2, attribute 7, bin 0, P(bin | class) = 0.93
Class 2, attribute 7, bin 1, P(bin | class) = 0.06
Class 2, attribute 7, bin 2, P(bin | class) = 0.00
Class 2, attribute 7, bin 3, P(bin | class) = 0.01
Class 2, attribute 7, bin 4, P(bin | class) = 0.00
Class 3, attribute 0, bin 0, P(bin | class) = 0.00
Class 3, attribute 0, bin 1, P(bin | class) = 0.00
Class 3, attribute 0, bin 2, P(bin | class) = 0.59
Class 3, attribute 0, bin 3, P(bin | class) = 0.38
Class 3, attribute 0, bin 4, P(bin | class) = 0.03
Class 3, attribute 1, bin 0, P(bin | class) = 0.00
Class 3, attribute 1, bin 1, P(bin | class) = 0.00
Class 3, attribute 1, bin 2, P(bin | class) = 0.62
Class 3, attribute 1, bin 3, P(bin | class) = 0.38
Class 3, attribute 1, bin 4, P(bin | class) = 0.00
Class 3, attribute 2, bin 0, P(bin | class) = 0.59
Class 3, attribute 2, bin 1, P(bin | class) = 0.41
Class 3, attribute 2, bin 2, P(bin | class) = 0.00
Class 3, attribute 2, bin 3, P(bin | class) = 0.00
Class 3, attribute 2, bin 4, P(bin | class) = 0.00
Class 3, attribute 3, bin 0, P(bin | class) = 0.88
Class 3, attribute 3, bin 1, P(bin | class) = 0.09
Class 3, attribute 3, bin 2, P(bin | class) = 0.03
Class 3, attribute 3, bin 3, P(bin | class) = 0.00
Class 3, attribute 3, bin 4, P(bin | class) = 0.00
Class 3, attribute 4, bin 0, P(bin | class) = 0.00
Class 3, attribute 4, bin 1, P(bin | class) = 1.00
Class 3, attribute 4, bin 2, P(bin | class) = 0.00
Class 3, attribute 4, bin 3, P(bin | class) = 0.00
Class 3, attribute 4, bin 4, P(bin | class) = 0.00
Class 3, attribute 5, bin 0, P(bin | class) = 0.00
Class 3, attribute 5, bin 1, P(bin | class) = 0.00
Class 3, attribute 5, bin 2, P(bin | class) = 0.00
Class 3, attribute 5, bin 3, P(bin | class) = 0.00
Class 3, attribute 5, bin 4, P(bin | class) = 1.00
Class 3, attribute 6, bin 0, P(bin | class) = 0.06
Class 3, attribute 6, bin 1, P(bin | class) = 0.94
Class 3, attribute 6, bin 2, P(bin | class) = 0.00
Class 3, attribute 6, bin 3, P(bin | class) = 0.00
Class 3, attribute 6, bin 4, P(bin | class) = 0.00
Class 3, attribute 7, bin 0, P(bin | class) = 0.88
Class 3, attribute 7, bin 1, P(bin | class) = 0.09
Class 3, attribute 7, bin 2, P(bin | class) = 0.03
Class 3, attribute 7, bin 3, P(bin | class) = 0.00
Class 3, attribute 7, bin 4, P(bin | class) = 0.00
Class 4, attribute 0, bin 0, P(bin | class) = 0.06
Class 4, attribute 0, bin 1, P(bin | class) = 0.11
Class 4, attribute 0, bin 2, P(bin | class) = 0.40
Class 4, attribute 0, bin 3, P(bin | class) = 0.43
Class 4, attribute 0, bin 4, P(bin | class) = 0.00
Class 4, attribute 1, bin 0, P(bin | class) = 0.09
Class 4, attribute 1, bin 1, P(bin | class) = 0.37
Class 4, attribute 1, bin 2, P(bin | class) = 0.49
Class 4, attribute 1, bin 3, P(bin | class) = 0.06
Class 4, attribute 1, bin 4, P(bin | class) = 0.00
Class 4, attribute 2, bin 0, P(bin | class) = 0.46
Class 4, attribute 2, bin 1, P(bin | class) = 0.54
Class 4, attribute 2, bin 2, P(bin | class) = 0.00
Class 4, attribute 2, bin 3, P(bin | class) = 0.00
Class 4, attribute 2, bin 4, P(bin | class) = 0.00
Class 4, attribute 3, bin 0, P(bin | class) = 0.74
Class 4, attribute 3, bin 1, P(bin | class) = 0.26
Class 4, attribute 3, bin 2, P(bin | class) = 0.00
Class 4, attribute 3, bin 3, P(bin | class) = 0.00
Class 4, attribute 3, bin 4, P(bin | class) = 0.00
Class 4, attribute 4, bin 0, P(bin | class) = 0.00
Class 4, attribute 4, bin 1, P(bin | class) = 1.00
Class 4, attribute 4, bin 2, P(bin | class) = 0.00
Class 4, attribute 4, bin 3, P(bin | class) = 0.00
Class 4, attribute 4, bin 4, P(bin | class) = 0.00
Class 4, attribute 5, bin 0, P(bin | class) = 0.00
Class 4, attribute 5, bin 1, P(bin | class) = 0.00
Class 4, attribute 5, bin 2, P(bin | class) = 0.00
Class 4, attribute 5, bin 3, P(bin | class) = 0.00
Class 4, attribute 5, bin 4, P(bin | class) = 1.00
Class 4, attribute 6, bin 0, P(bin | class) = 0.06
Class 4, attribute 6, bin 1, P(bin | class) = 0.91
Class 4, attribute 6, bin 2, P(bin | class) = 0.03
Class 4, attribute 6, bin 3, P(bin | class) = 0.00
Class 4, attribute 6, bin 4, P(bin | class) = 0.00
Class 4, attribute 7, bin 0, P(bin | class) = 1.00
Class 4, attribute 7, bin 1, P(bin | class) = 0.00
Class 4, attribute 7, bin 2, P(bin | class) = 0.00
Class 4, attribute 7, bin 3, P(bin | class) = 0.00
Class 4, attribute 7, bin 4, P(bin | class) = 0.00
Class 5, attribute 0, bin 0, P(bin | class) = 0.07
Class 5, attribute 0, bin 1, P(bin | class) = 0.64
Class 5, attribute 0, bin 2, P(bin | class) = 0.21
Class 5, attribute 0, bin 3, P(bin | class) = 0.07
Class 5, attribute 0, bin 4, P(bin | class) = 0.00
Class 5, attribute 1, bin 0, P(bin | class) = 0.14
Class 5, attribute 1, bin 1, P(bin | class) = 0.71
Class 5, attribute 1, bin 2, P(bin | class) = 0.14
Class 5, attribute 1, bin 3, P(bin | class) = 0.00
Class 5, attribute 1, bin 4, P(bin | class) = 0.00
Class 5, attribute 2, bin 0, P(bin | class) = 0.00
Class 5, attribute 2, bin 1, P(bin | class) = 1.00
Class 5, attribute 2, bin 2, P(bin | class) = 0.00
Class 5, attribute 2, bin 3, P(bin | class) = 0.00
Class 5, attribute 2, bin 4, P(bin | class) = 0.00
Class 5, attribute 3, bin 0, P(bin | class) = 0.86
Class 5, attribute 3, bin 1, P(bin | class) = 0.14
Class 5, attribute 3, bin 2, P(bin | class) = 0.00
Class 5, attribute 3, bin 3, P(bin | class) = 0.00
Class 5, attribute 3, bin 4, P(bin | class) = 0.00
Class 5, attribute 4, bin 0, P(bin | class) = 0.00
Class 5, attribute 4, bin 1, P(bin | class) = 1.00
Class 5, attribute 4, bin 2, P(bin | class) = 0.00
Class 5, attribute 4, bin 3, P(bin | class) = 0.00
Class 5, attribute 4, bin 4, P(bin | class) = 0.00
Class 5, attribute 5, bin 0, P(bin | class) = 0.00
Class 5, attribute 5, bin 1, P(bin | class) = 0.14
Class 5, attribute 5, bin 2, P(bin | class) = 0.00
Class 5, attribute 5, bin 3, P(bin | class) = 0.50
Class 5, attribute 5, bin 4, P(bin | class) = 0.36
